!   RPF - riparian and miscella. ET fraction
!   RUFO - reuse fraction for all other crops
!   RUFW - reuse fraction for wetlands. -1 indicates nodata, -2 indicates a time series is used
!
!   RUFR{id} - timeseries ID of reuse fraction for rice
!						
!	AW   = AWo +AWr +AWw					
!	RUaw = AWo * RUFo +  AWr * RUFr + AWw*RUFw
!       RU   = Min(TW, RUaw)
!	GP   > GPmin * (1+ RPF)* AW -GPmin* RUaw	
!       Div  = [AW*(1+ RPF) -RU -GP]/[1-(EVF+DPF+LFF+OSF)] 
Rpf_RufO_RufW									
DU	RPF	RUFO	RUFRid	RUFW					
36	0	0.1	2	0.15	!	11_SA1	0.15	RUFR2	0
37	0	0.1	1	0.15	!	11_SA2	0.15	RUFR1	0
38	0.05	0	1	0.15	!	11_SA3	0.15	RUFR1	0.05
39	0.05	0	1	0.15	!	11_SA4	0.15	RUFR1	0.05
40	0	0.1	5	0.15	!	11_PR	0.15	RUFR5	0
41	0	0	5	0.15	!	12_NA	0.15	RUFR5	0.05
42	0.05	0	5	-1	!	12_SA	0	RUFR5	0.05
43	0.05	0	5	-1	!	13_NA	0	RUFR5	0.05
44	0.05	0	5	-1	!	14_NA	0	RUFR5	0.05
45	0.05	0.1	5	-1	!	15N_NA1	0	RUFR5	0.05
46	0.05	0.1	3	-1	!	15N_NA2	0	RUFR3	0.05
47	0.05	0	5	-1	!	15N_SA	0	RUFR5	0.05
48	0.05	0.05	5	-1	!	15S_NA1	0	RUFR5	0.05
49	0	0	3	-1	!	15S_NA2	0	RUFR3	0.05
50	0	0.1	5	-1	!	15S_SA	0	RUFR5	0
51	0	0.1	5	-1	!	16_PA	0	RUFR5	0
52	0	0	5	-1	!	16_SA	0	RUFR5	0.01
53	0.05	0.1	5	-1	!	16_NA1	0	RUFR5	0.05
54	0.05	0	3	-1	!	16_NA2	0	RUFR3	0.05
55	0.05	0.1	5	-1	!	17N_NA	0	RUFR5	0.05
56	0	0	5	0.15	!	17N_PR	0.15	RUFR5	0
57	0	0.1	5	0.15	!	17N_NR	0.15	RUFR5	0
58	0.05	0	5	0	!	17S_PR	0	RUFR5	0.05
59	0	0.1	5	-1	!	17S_NA	0	RUFR5	0
60	0.05	0.1	5	-1	!	17S_SA	0	RUFR5	0.05
61	0	0.1	5	-1	!	18_NA	0	RUFR5	0
62	0	0.1	5	-1	!	18_SA	0	RUFR5	0
63	0.05	0.1	5	-1	!	19_SA	0	RUFR5	0.05
64	0	0.1	5	-1	!	20_NA1	0	RUFR5	0.05
65	0	0.1	5	-1	!	20_PA	0	RUFR5	0
66	0	0.1	5	-1	!	21_NA	0	RUFR5	0
67	0	0.1	5	-1	!	21_SA	0	RUFR5	0
68	0.05	0	5	0.01	!	21_PA	0.15	RUFR5	0.05
69	0	0.1	5	-1	!	22_SA1	0	RUFR5	0
70	0.05	0	5	-1	!	22_NA	0	RUFR5	0.05
71	0.05	0	5	-1	!	22_SA2	0	RUFR5	0.05
72	0	0.1	5	-1	!	23_NA	0	RUFR5	0.05
73	0.05	0.05	5	-1	!	24_NA1	0	RUFR5	0.05
74	0.05	0.05	5	-1	!	24_NA2	0	RUFR5	0.05
75	0.05	0.05	5	-1	!	24_NA3	0	RUFR5	0.05
76	0	0.1	5	-1	!	25_PA1	0	RUFR5	0
77	0	0.1	5	-1	!	25_PA2	0	RUFR5	0
78	0.05	0.1	5	-1	!	20_NA2	0	RUFR5	0.05
79	0.05	0.1	5	-1	!	25_NA	0	RUFR5	0.05
80	0.05	0.1	5	-1	!	26N_NA	0	RUFR5	0.05
81	0.05	0.1	5	-1	!	26S_NA	0	RUFR5	0.05
82	0.05	0.1	5	-1	!	60N_NA2	0	RUFR5	0.05
